0,Road,Discription,LRP,Offset,Chainage,LRP2,Offset2,Chainage2,(Km),Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized,Non Motorized,Total AADT,(AADT),Simple Road
N4-11,N4-11,Elenga(Int.with N405)-Kalihati (Int.with Z4016),LRP072,284,69.712,LRP081,790,79.288,9.576,2.0,1461.0,1046.0,815.0,164.0,295.0,179.0,303.0,2585.0,1088.0,197.0,558.0,0.0,7938.0,755.0,8693.0,8693.0,N4
N4-12,N4-12,Kalihati(Int.with Z4016)-Ghatail(Int.with Z3037),LRP081,790,79.288,LRP091,1060,89.598,10.310,2.0,1461.0,1046.0,815.0,164.0,295.0,179.0,303.0,2585.0,1088.0,197.0,558.0,0.0,7938.0,755.0,8693.0,8693.0,N4
N4-13,N4-13,Ghatail(Int.with Z3037)-Porabari(Int.with Z4017),LRP091,1060,89.598,LRP095,1119,93.627,4.029,6.0,1652.0,982.0,1254.0,280.0,321.0,97.0,304.0,1655.0,1932.0,1234.0,1873.0,0.0,8483.0,3107.0,11590.0,11590.0,N4
N4-14,N4-14,Porabari(Int.with Z4017)-Modhupur(Int.with N401),LRP095,1119,93.627,LRP107,1133,105.636,12.009,6.0,1652.0,982.0,1254.0,280.0,321.0,97.0,304.0,1655.0,1932.0,1234.0,1873.0,0.0,8483.0,3107.0,11590.0,11590.0,N4
N4-15,N4-15,Modhupur(Int.with N401)-Digpaith (Int.with Z4023),LRP107,1133,105.636,LRP130,708,128.135,22.499,13.0,508.0,339.0,333.0,0.0,265.0,136.0,179.0,1309.0,1866.0,757.0,1264.0,10.0,4948.0,2031.0,6979.0,6979.0,N4
N4-16,N4-16,Digpaith(Int.with Z4023)-Int.With Z4025,LRP130,708,128.135,LRP144,450,142.122,13.987,13.0,508.0,339.0,333.0,0.0,265.0,136.0,179.0,1309.0,1866.0,757.0,1264.0,10.0,4948.0,2031.0,6979.0,6979.0,N4
N4-17,N4-17,Int.With Z4025-Jamalpur,LRP144,450,142.122,LRP145,3673,146.355,4.233,13.0,508.0,339.0,333.0,0.0,265.0,136.0,179.0,1309.0,1866.0,757.0,1264.0,10.0,4948.0,2031.0,6979.0,6979.0,N4
N401-1,N401-1,Modhupur-Muktagachha (Int.with Z4101),LRPS,0,0,LRP028,187,28.177,28.177,16.0,654.0,247.0,481.0,44.0,188.0,59.0,228.0,1401.0,467.0,216.0,774.0,20.0,3785.0,1010.0,4795.0,4795.0,N401
N401-2,N401-2,Muktagachha (Int.with Z4101) - Muktagachha (Int.with Z4105),LRP028,187,28.177,LRP030,391,30.406,2.229,16.0,654.0,247.0,481.0,44.0,188.0,59.0,228.0,1401.0,467.0,216.0,774.0,20.0,3785.0,1010.0,4795.0,4795.0,N401
N401-3,N401-3,Muktagachha (Int.with Z4105) -Mymensingh engineering College(Int.withN309),LRP030,391,30.406,LRP040,18,40.043,9.637,16.0,654.0,247.0,481.0,44.0,188.0,59.0,228.0,1401.0,467.0,216.0,774.0,20.0,3785.0,1010.0,4795.0,4795.0,N401
N401-4,N401-4,Mymensingh engineering College(Int.withN309)-Mymensing Zero Point,LRP040,18,40.043,LRPE,0,46.98,6.937,16.0,654.0,247.0,481.0,44.0,188.0,59.0,228.0,1401.0,467.0,216.0,774.0,20.0,3785.0,1010.0,4795.0,4795.0,N401
N402-1,N402-1,Nakla-Nalitabari (Int with Z4602 and Z3040),LRPS,0,0,LRP013,1550,15,15.000,16.0,654.0,247.0,481.0,44.0,188.0,59.0,228.0,1401.0,467.0,216.0,774.0,20.0,3785.0,1010.0,4795.0,4795.0,N402
N402-2,N402-2,Nalitabari (Int with Z4602 and Z3040)-Nokugoan Border,LRP013,1550,15,LRPE,0,28.663,13.663,16.0,654.0,247.0,481.0,44.0,188.0,59.0,228.0,1401.0,467.0,216.0,774.0,20.0,3785.0,1010.0,4795.0,4795.0,N402
N403-1,N403-1,Mirzapur East-Mirzapur West,LRPS,0,0,LRPS,3732,3.732,3.732,0.0,90.0,133.0,62.0,134.0,154.0,32.0,152.0,1927.0,1065.0,339.0,811.0,0.0,3749.0,1150.0,4899.0,4899.0,N403
N404-1,N404-1,Nagarjalphai-Tangail Old Bus Stand(Int.with R506),LRPS,0,0,LRPS,2528,2.528,2.528,0.0,645.0,332.0,887.0,199.0,324.0,131.0,479.0,6335.0,1263.0,959.0,1136.0,0.0,10595.0,2095.0,12690.0,12690.0,N404
N404-2,N404-2,Tangail Old Bus Stand(Int.with R506)-Balia (Int.with N4),LRPS,2528,2.528,LRPE,0,6.489,3.961,0.0,645.0,332.0,887.0,199.0,324.0,131.0,479.0,6335.0,1263.0,959.0,1136.0,0.0,10595.0,2095.0,12690.0,12690.0,N404
N405-1,N405-1,Elanga- Jumuna Bridge,LRPS,0,0,LRP007,755,7.475,7.475,37.0,4781.0,1015.0,4459.0,569.0,1283.0,327.0,1083.0,1656.0,958.0,137.0,151.0,0.0,16168.0,288.0,16456.0,16456.0,N405
N405-2,N405-2,Jamuna Bridge-Porabari (Int.with Z5402),LRP007,755,7.475,LRP026,270,25.89,18.415,37.0,4781.0,1015.0,4459.0,569.0,1283.0,327.0,1083.0,1656.0,958.0,137.0,151.0,0.0,16168.0,288.0,16456.0,16456.0,N405
N405-3,N405-3,Porabari (Int.with Z5402)-Nalka (Int.with R451),LRP026,270,25.89,LRP036,409,36.144,10.254,37.0,4781.0,1015.0,4459.0,569.0,1283.0,327.0,1083.0,1656.0,958.0,137.0,151.0,0.0,16168.0,288.0,16456.0,16456.0,N405
N405-4,N405-4,Nalka (Int.with R451)-Hatikamrul,LRP036,409,36.144,LRP040,945,40.78,4.636,37.0,4781.0,1015.0,4459.0,569.0,1283.0,327.0,1083.0,1656.0,958.0,137.0,151.0,0.0,16168.0,288.0,16456.0,16456.0,N405
N406-1,N406-1,Start form N4 near IT park Gate-int.with R315,LRPS,0,0,LRPS,2802,2.802,2.802,37.0,4781.0,1015.0,4459.0,569.0,1283.0,327.0,1083.0,1656.0,958.0,137.0,151.0,0.0,16168.0,288.0,16456.0,16456.0,N406
N406-2,N406-2,Int.with R315- intersecting N4,LRPS,2802,2.802,LRPE,0,3.042,0.240,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,"*
                              

                                NS",N406
N407-1,N407-1,Korotia(Int.with N408)-Bangra(Int.with Z4012),LRPS,0,0,LRPE,0,2.206,2.206,37.0,4781.0,1015.0,4459.0,569.0,1283.0,327.0,1083.0,1656.0,958.0,137.0,151.0,0.0,16168.0,288.0,16456.0,16456.0,N407
N408-1,N408-1,Karatipara (Int.with N4)-Karatia Bazar(Int.with N407),LRPS,0,0,LRPS,1502,1.502,1.502,37.0,4781.0,1015.0,4459.0,569.0,1283.0,327.0,1083.0,1656.0,958.0,137.0,151.0,0.0,16168.0,288.0,16456.0,16456.0,N408
N408-2,N408-2,Karatia Bazar(Int.with N407)-Int.with N4,LRPS,1502,1.502,LRPE,0,3.532,2.030,37.0,4781.0,1015.0,4459.0,569.0,1283.0,327.0,1083.0,1656.0,958.0,137.0,151.0,0.0,16168.0,288.0,16456.0,16456.0,N408
N5-1L,N5-1L,Mirpur Bridge-Turag (Int.with Z5069) (Left),LRPS,0,0,LRP002,635,2.59,2.590,19.0,2707.0,2143.0,2161.0,2049.0,1874.0,154.0,2580.0,910.0,1314.0,42.0,167.0,0.0,15911.0,209.0,16120.0,16120.0,N5
N5-1R,N5-1R,Mirpur Bridge-Turag (Int.with Z5069)(Right),LRPS,0,0,LRP002,635,2.59,2.590,19.0,2707.0,2143.0,2161.0,2049.0,1874.0,154.0,2580.0,910.0,1314.0,42.0,167.0,0.0,15911.0,209.0,16120.0,16120.0,N5
N5-2L,N5-2L,Turag (Int.with Z5069)-Hamayetpur  (Int.with R504) (Left),LRP002,635,2.59,LRP007,20,6.945,4.355,30.0,2540.0,2264.0,2032.0,1997.0,1909.0,301.0,2976.0,1327.0,1195.0,54.0,235.0,0.0,16571.0,289.0,16860.0,16860.0,N5
N5-2L,N5-2L,Turag (Int.with Z5069)-Hamayetpur  (Int.with R504) (Left),LRP002,635,2.59,LRP007,20,6.945,4.355,19.0,2707.0,2143.0,2161.0,2049.0,1874.0,154.0,2580.0,910.0,1314.0,42.0,167.0,0.0,15911.0,209.0,16120.0,16120.0,N5
N5-2R,N5-2R,Turag (Int.with Z5069)-Hamayetpur  (Int.with R504) (Right),LRP002,635,2.59,LRP007,20,6.945,4.355,19.0,2707.0,2143.0,2161.0,2049.0,1874.0,154.0,2580.0,910.0,1314.0,42.0,167.0,0.0,15911.0,209.0,16120.0,16120.0,N5
N5-3L,N5-3L,Hamayetpur(Int.with R504)-Nabinagar(Int.with N540) (Left),LRP007,20,6.945,LRP020,2478,22.343,15.398,19.0,3389.0,1956.0,2038.0,2416.0,1843.0,299.0,2758.0,834.0,666.0,61.0,167.0,0.0,16218.0,228.0,16446.0,16446.0,N5
N5-3R,N5-3R,Hamayetpur(Int.with R504)-Nabinagar(Int.with N540)(Right),LRP007,20,6.945,LRP020,2478,22.343,15.398,44.0,2883.0,1541.0,2283.0,1589.0,1740.0,361.0,2584.0,1539.0,1064.0,223.0,426.0,0.0,15628.0,649.0,16277.0,16277.0,N5
N5-4,N5-4,Nabinagar(Int.with N540)-Dulivita (Int.with R315),LRP020,2478,22.343,LRP027,160,27.075,4.732,57.0,3155.0,1283.0,1926.0,1428.0,837.0,189.0,1165.0,542.0,505.0,237.0,174.0,0.0,11087.0,411.0,11498.0,11498.0,N5
N5-5,N5-5,Dulivita(Int.with R315) -Kalampur Bus Stand (Int.with Z5061),LRP027,160,27.075,LRP033,265,33.18,6.105,57.0,3155.0,1283.0,1926.0,1428.0,837.0,189.0,1165.0,542.0,505.0,237.0,174.0,0.0,11087.0,411.0,11498.0,11498.0,N5
N5-6,N5-6,Kalampur Bus Stand(Int.with Z5061) -Golra  (Int.with Z5063),LRP033,265,33.18,LRP044,1583,45.498,12.318,57.0,3155.0,1283.0,1926.0,1428.0,837.0,189.0,1165.0,542.0,505.0,237.0,174.0,0.0,11087.0,411.0,11498.0,11498.0,N5
N5-7,N5-7,Golra(Int.with Z5063) -Manikganj   (Int.with R504),LRP044,1583,45.498,LRP051,325,51.255,5.757,57.0,3155.0,1283.0,1926.0,1428.0,837.0,189.0,1165.0,542.0,505.0,237.0,174.0,0.0,11087.0,411.0,11498.0,11498.0,N5
N5-8,N5-8,Manikganj (Int.with R504) -Baniajuri  (Int.with Z5064),LRP051,325,51.255,LRP057,445,57.375,6.120,57.0,3155.0,1283.0,1926.0,1428.0,837.0,189.0,1165.0,542.0,505.0,237.0,174.0,0.0,11087.0,411.0,11498.0,11498.0,N5
N5-9,N5-9,Baniajuri (Int.with Z5064) -Barangail   (Int.with R506),LRP057,445,57.375,LRP065,860,65.785,8.410,57.0,3155.0,1283.0,1926.0,1428.0,837.0,189.0,1165.0,542.0,505.0,237.0,174.0,0.0,11087.0,411.0,11498.0,11498.0,N5
N5-10,N5-10,Barangail(Int.with R506) -Utholi  (Int.with N503),LRP065,860,65.785,LRP072,160,72.095,6.310,0.0,13.0,18.0,0.0,3.0,4.0,3.0,2.0,66.0,80.0,104.0,112.0,3.0,189.0,219.0,408.0,408.0,N5
N5-11,N5-11,Utholi (Int.with N503) -Paturia Ferryghat,LRP072,160,72.095,LRP076,2259,78.309,6.214,0.0,13.0,18.0,0.0,3.0,4.0,3.0,2.0,66.0,80.0,104.0,112.0,3.0,189.0,219.0,408.0,408.0,N5
N5-12,N5-12,Natakhola Ferry Ghat-Bara Naogaon  (Int.with N505),LRP076,2259,78.309,LRP076,23990,100.04,21.731,0.0,13.0,18.0,0.0,3.0,4.0,3.0,2.0,66.0,80.0,104.0,112.0,3.0,189.0,219.0,408.0,408.0,N5
N5-13,N5-13,Bara Naogaon-Baderhat    (Int.with R601),LRP076,23990,100.04,LRP076,25205,101.255,1.215,1.0,55.0,57.0,49.0,107.0,19.0,2.0,4.0,788.0,293.0,236.0,515.0,28.0,1375.0,779.0,2154.0,2154.0,N5
N5-14,N5-14,Baderhat (Int.with R601) -Kashinathpur (Int. with N6),LRP076,25205,101.255,LRP108,1025,109.472,8.217,35.0,116.0,41.0,114.0,143.0,60.0,4.0,27.0,1001.0,549.0,217.0,488.0,15.0,2090.0,720.0,2810.0,2810.0,N5
N5-15,N5-15,Kashinathpur (Int. with N6)-Satiakhola  (Int. with Z6028),LRP108,1025,109.472,LRP111,297,112.111,2.639,35.0,116.0,41.0,114.0,143.0,60.0,4.0,27.0,1001.0,549.0,217.0,488.0,15.0,2090.0,720.0,2810.0,2810.0,N5
N5-16,N5-16,Satiakhola (Int. with Z6028)-Bera (Int. with Z6026),LRP111,297,112.111,LRP122,386,123.25,11.139,35.0,116.0,41.0,114.0,143.0,60.0,4.0,27.0,1001.0,549.0,217.0,488.0,15.0,2090.0,720.0,2810.0,2810.0,N5
N5-17,N5-17,Bera(Int. with Z6026)-Baghabari  (Int. with Z6021),LRP122,386,123.25,LRP129,480,130.374,7.124,24.0,715.0,294.0,430.0,151.0,269.0,104.0,122.0,1479.0,762.0,195.0,579.0,9.0,4350.0,783.0,5133.0,5133.0,N5
N5-18,N5-18,Baghabari (Int. with Z6021)-Shahazadpur  (Int. with Z5410),LRP129,480,130.374,LRP134,552,135.582,5.208,24.0,715.0,294.0,430.0,151.0,269.0,104.0,122.0,1479.0,762.0,195.0,579.0,9.0,4350.0,783.0,5133.0,5133.0,N5
N5-19,N5-19,"Shahazadpur  (Int. with Z5410)-Paik Para, Int.with Z5058",LRP134,552,135.582,LRP147,331,148.381,12.799,52.0,1297.0,930.0,425.0,322.0,192.0,64.0,122.0,2039.0,1440.0,459.0,919.0,0.0,6883.0,1378.0,8261.0,8261.0,N5
N5-20,N5-20,"Paik Para, Int.with Z5058-Ullahpara (Int.with Z5048)",LRP147,331,148.381,LRP151,150,152.21,3.829,52.0,1297.0,930.0,425.0,322.0,192.0,64.0,122.0,2039.0,1440.0,459.0,919.0,0.0,6883.0,1378.0,8261.0,8261.0,N5
N5-21,N5-21,Ullahpara (Int.with Z5048)-Ullahpara (Int.with Z5046),LRP151,150,152.21,LRP152,1038,154.118,1.908,52.0,1297.0,930.0,425.0,322.0,192.0,64.0,122.0,2039.0,1440.0,459.0,919.0,0.0,6883.0,1378.0,8261.0,8261.0,N5
N5-22,N5-22,Ullahpara (Int.with Z5046)-Bhutgacha (Z5403),LRP152,1038,154.118,LRP154,1711,156.381,2.263,52.0,1297.0,930.0,425.0,322.0,192.0,64.0,122.0,2039.0,1440.0,459.0,919.0,0.0,6883.0,1378.0,8261.0,8261.0,N5
N5-23,N5-23,"Bhutgacha (Int.with Z5403)-Hatikamrul  (Int.with N405, N507)",LRP154,1711,156.381,LRP164,670,165.31,8.929,52.0,1297.0,930.0,425.0,322.0,192.0,64.0,122.0,2039.0,1440.0,459.0,919.0,0.0,6883.0,1378.0,8261.0,8261.0,N5
N5-24,N5-24,"Hatikamrul (Int.with N405, N507) l-Bhuyangati  Z5041",LRP164,670,165.31,LRP174,802,175.452,10.142,52.0,1297.0,930.0,425.0,322.0,192.0,64.0,122.0,2039.0,1440.0,459.0,919.0,0.0,6883.0,1378.0,8261.0,8261.0,N5
N5-25,N5-25,"Bhuyangati Z5041 -Chandaikona, Z5042",LRP174,802,175.452,LRP178,1930,180.58,5.128,52.0,1297.0,930.0,425.0,322.0,192.0,64.0,122.0,2039.0,1440.0,459.0,919.0,0.0,6883.0,1378.0,8261.0,8261.0,N5
N5-26,N5-26,"Chandaikona, Z5042-Sherpur (Int.with Z5049)",LRP178,1930,180.58,LRP192,960,193.58,13.000,52.0,1297.0,930.0,425.0,322.0,192.0,64.0,122.0,2039.0,1440.0,459.0,919.0,0.0,6883.0,1378.0,8261.0,8261.0,N5
N5-27,N5-27,Sherpur (Int.with Z5049)-Sherpur (Int.with Z5401),LRP192,960,193.58,LRP197,500,198.14,4.560,48.0,3375.0,1430.0,1591.0,489.0,460.0,390.0,589.0,2590.0,1210.0,518.0,430.0,0.0,12172.0,948.0,13120.0,13120.0,N5
N5-28,N5-28,Sherpur (Int.with Z5401)-Sherpur (Int.with Z5034),LRP197,500,198.14,LRP198,304,198.944,0.804,48.0,3375.0,1430.0,1591.0,489.0,460.0,390.0,589.0,2590.0,1210.0,518.0,430.0,0.0,12172.0,948.0,13120.0,13120.0,N5
N5-29,N5-29,"Sherpur (Int.with Z5034) -Int.with N515,Sultanganj",LRP198,304,198.944,LRP214,330,214.98,16.036,48.0,3375.0,1430.0,1591.0,489.0,460.0,390.0,589.0,2590.0,1210.0,518.0,430.0,0.0,12172.0,948.0,13120.0,13120.0,N5
N5-30,N5-30,"Int.with N515,Sultanganj -Banani (Bogra)Z5040",LRP214,330,214.98,LRP214,660,215.31,0.330,48.0,3375.0,1430.0,1591.0,489.0,460.0,390.0,589.0,2590.0,1210.0,518.0,430.0,0.0,12172.0,948.0,13120.0,13120.0,N5
N5-31,N5-31,Banani (Bogra) )Z5040 -Int. with N514,LRP214,660,215.31,LRP215,500,216.1,0.790,48.0,3375.0,1430.0,1591.0,489.0,460.0,390.0,589.0,2590.0,1210.0,518.0,430.0,0.0,12172.0,948.0,13120.0,13120.0,N5
N5-32,N5-32,Int. with N514-Bogra Station Rd.  (N502),LRP215,500,216.1,LRP215,2432,218.032,1.932,48.0,3375.0,1430.0,1591.0,489.0,460.0,390.0,589.0,2590.0,1210.0,518.0,430.0,0.0,12172.0,948.0,13120.0,13120.0,N5
N5-33,N5-33,Bogra Station Rd.  (N502)-Int. with N510,LRP215,2432,218.032,LRP215,5292,220.892,2.860,48.0,3375.0,1430.0,1591.0,489.0,460.0,390.0,589.0,2590.0,1210.0,518.0,430.0,0.0,12172.0,948.0,13120.0,13120.0,N5
N5-34,N5-34,Int. with N510-Int.with R545,LRP215,5292,220.892,LRP215,7150,222.75,1.858,48.0,3375.0,1430.0,1591.0,489.0,460.0,390.0,589.0,2590.0,1210.0,518.0,430.0,0.0,12172.0,948.0,13120.0,13120.0,N5
N5-35,N5-35,Int.with R545-Jhapgari (Bogra) Z5039,LRP215,7150,222.75,LRP224,651,225.251,2.501,48.0,3375.0,1430.0,1591.0,489.0,460.0,390.0,589.0,2590.0,1210.0,518.0,430.0,0.0,12172.0,948.0,13120.0,13120.0,N5
N5-36,N5-36,Jhapgari (Bogra)Z5039-Matidali (bogra)  N514,LRP224,651,225.251,LRP224,1850,226.45,1.199,48.0,3375.0,1430.0,1591.0,489.0,460.0,390.0,589.0,2590.0,1210.0,518.0,430.0,0.0,12172.0,948.0,13120.0,13120.0,N5
N5-37,N5-37,Matidali (bogra)N514 -Mohasthangar Z5505,LRP224,1850,226.45,LRP232,940,233.53,7.080,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,NS,"*
                              

                                NS",N5
N5-38,N5-38,Mohasthangar Z5505-Chowkirghat  Z5072,LRP232,940,233.53,LRP234,4873,239.463,5.933,228.0,2346.0,566.0,1075.0,315.0,357.0,132.0,124.0,748.0,658.0,241.0,274.0,0.0,6549.0,515.0,7064.0,7064.0,N5
N5-39,N5-39,Chowkirghat Z5072-Mokamtala (Int.with Z5035),LRP234,4873,239.463,LRP240,655,241.245,1.782,228.0,2346.0,566.0,1075.0,315.0,357.0,132.0,124.0,748.0,658.0,241.0,274.0,0.0,6549.0,515.0,7064.0,7064.0,N5
N5-40,N5-40,Mokamtala (Int.with Z5035)-Mokamtala (Int.with R550),LRP240,655,241.245,LRP240,1100,241.69,0.445,228.0,2346.0,566.0,1075.0,315.0,357.0,132.0,124.0,748.0,658.0,241.0,274.0,0.0,6549.0,515.0,7064.0,7064.0,N5
N5-41,N5-41,Mokamtala (Int.with R550)-Kashipur (Mokamtala) Z5507,LRP240,1100,241.69,LRP240,1890,242.48,0.790,228.0,2346.0,566.0,1075.0,315.0,357.0,132.0,124.0,748.0,658.0,241.0,274.0,0.0,6549.0,515.0,7064.0,7064.0,N5
N5-42,N5-42,"Kashipur (Mokamtala) Z5507-Gobindaganj,  R585",LRP240,1890,242.48,LRP252,2675,255.265,12.785,228.0,2346.0,566.0,1075.0,315.0,357.0,132.0,124.0,748.0,658.0,241.0,274.0,0.0,6549.0,515.0,7064.0,7064.0,N5
N5-43,N5-43,"Gobindaganj, R585 -Nakaihat, Z5554",LRP252,2675,255.265,LRP256,330,256.92,1.655,228.0,2346.0,566.0,1075.0,315.0,357.0,132.0,124.0,748.0,658.0,241.0,274.0,0.0,6549.0,515.0,7064.0,7064.0,N5
N5-44,N5-44,"Nakaihat, Z5554 -Palashbari  R555",LRP256,330,256.92,LRP270,1666,272.271,15.351,228.0,2346.0,566.0,1075.0,315.0,357.0,132.0,124.0,748.0,658.0,241.0,274.0,0.0,6549.0,515.0,7064.0,7064.0,N5
N5-45,N5-45,"Palashbari, R555  -Pirganj (Int.with Z5075)",LRP270,1666,272.271,LRP282,5796,288.411,16.140,83.0,1402.0,550.0,689.0,346.0,228.0,92.0,167.0,409.0,954.0,526.0,670.0,0.0,4920.0,1196.0,6116.0,6116.0,N5
N5-46,N5-46,Pirganj (Int.with Z5075)-Pirganj (Int.with Z5074),LRP282,5796,288.411,LRP288,941,289.556,1.145,83.0,1402.0,550.0,689.0,346.0,228.0,92.0,167.0,409.0,954.0,526.0,670.0,0.0,4920.0,1196.0,6116.0,6116.0,N5
N5-47,N5-47,"Pirganj (Int.with Z5074) -Mithapukur , R556",LRP288,941,289.556,LRP306,580,307.195,17.639,74.0,2022.0,694.0,1479.0,342.0,334.0,33.0,211.0,1298.0,2127.0,1195.0,775.0,45.0,8614.0,2015.0,10629.0,10629.0,N5
N5-48,N5-48,"Mithapukur , R556 -Rangpur Modern More , N517",LRP306,580,307.195,LRP321,230,321.845,14.650,182.0,1254.0,852.0,1209.0,606.0,428.0,125.0,283.0,643.0,1248.0,703.0,662.0,0.0,6830.0,1365.0,8195.0,8195.0,N5
N5-49,N5-49,"Rangpur Modern More, N517 -Rangpur Bus Terminal , Z5025",LRP321,230,321.845,LRP323,3445,326.75,4.905,74.0,2022.0,694.0,1479.0,342.0,334.0,33.0,211.0,1298.0,2127.0,1195.0,775.0,45.0,8614.0,2015.0,10629.0,10629.0,N5
N5-50L,N5-50L,"Rangpur Bus Terminal, Z5025 - Medical Mor, int with N517 (Left)",LRP323,3445,326.75,LRP323,5970,329.275,2.525,182.0,1254.0,852.0,1209.0,606.0,428.0,125.0,283.0,643.0,1248.0,703.0,662.0,0.0,6830.0,1365.0,8195.0,8195.0,N5
N5-50R,N5-50R,"Rangpur Bus Terminal, Z5025 - Medical Mor, int with N517 (Right)",LRP323,3445,326.75,LRP323,5970,329.275,2.525,182.0,1254.0,852.0,1209.0,606.0,428.0,125.0,283.0,643.0,1248.0,703.0,662.0,0.0,6830.0,1365.0,8195.0,8195.0,N5
N5-51,N5-51,"Medical Mor, int with N517-Uttom More (Hazirhat)  Z5020",LRP323,5970,329.275,LRP334,475,335.185,5.910,182.0,1254.0,852.0,1209.0,606.0,428.0,125.0,283.0,643.0,1248.0,703.0,662.0,0.0,6830.0,1365.0,8195.0,8195.0,N5
N5-52,N5-52,Uttom More (Hazirhat)Z5020-Int.with R560,LRP334,475,335.185,LRP338,890,339.607,4.422,182.0,1254.0,852.0,1209.0,606.0,428.0,125.0,283.0,643.0,1248.0,703.0,662.0,0.0,6830.0,1365.0,8195.0,8195.0,N5
N5-53,N5-53,Int.with R560- Taraganj (Int.with Z5015),LRP338,890,339.607,LRP351,2008,353.695,14.088,108.0,574.0,558.0,370.0,290.0,327.0,39.0,228.0,1317.0,1570.0,1468.0,1050.0,0.0,5381.0,2518.0,7899.0,7899.0,N5
N5-54,N5-54,"Taraganj (Int.with Z5015)-Sayedpur , N518",LRP351,2008,353.695,LRP362,920,363.617,9.922,40.0,1237.0,481.0,986.0,268.0,258.0,87.0,220.0,925.0,837.0,535.0,464.0,0.0,5339.0,999.0,6338.0,6338.0,N5
N5-55,N5-55,"Sayedpur, N518 - WAPDA More (Int.with R570)",LRP362,920,363.617,LRP367,498,368.325,4.708,108.0,574.0,558.0,370.0,290.0,327.0,39.0,228.0,1317.0,1570.0,1468.0,1050.0,0.0,5381.0,2518.0,7899.0,7899.0,N5
N5-56,N5-56,WAPDA More (Int.with R570)-Sonapukur (Int.with N518),LRP367,498,368.325,LRP371,88,372.5,4.175,40.0,1237.0,481.0,986.0,268.0,258.0,87.0,220.0,925.0,837.0,535.0,464.0,0.0,5339.0,999.0,6338.0,6338.0,N5
N5-57,N5-57,"Sonapukur (Int.with N518)-Ranirbandar, Z5005",LRP371,88,372.5,LRP379,1360,381.882,9.382,40.0,1237.0,481.0,986.0,268.0,258.0,87.0,220.0,925.0,837.0,535.0,464.0,0.0,5339.0,999.0,6338.0,6338.0,N5
N5-58,N5-58,"Ranirbandar, Z5005 -Beldanga, N508",LRP379,1360,381.882,LRP391,1980,394.462,12.580,40.0,1237.0,481.0,986.0,268.0,258.0,87.0,220.0,925.0,837.0,535.0,464.0,0.0,5339.0,999.0,6338.0,6338.0,N5
N5-59,N5-59,"Beldanga, N508 -Birganj (Int.with Z5007)",LRP391,1980,394.462,LRP403,1940,406.432,11.970,268.0,431.0,264.0,264.0,180.0,102.0,121.0,57.0,332.0,1252.0,968.0,266.0,0.0,3271.0,1234.0,4505.0,4505.0,N5
N5-60,N5-60,Birganj (Int.with Z5007) - Birganj (Int.with Z5008),LRP403,1940,406.432,LRP405,640,407.222,0.790,268.0,431.0,264.0,264.0,180.0,102.0,121.0,57.0,332.0,1252.0,968.0,266.0,0.0,3271.0,1234.0,4505.0,4505.0,N5
N5-61,N5-61,Birganj (Int.with Z5008)-Thakurgaon  (Int.with R587),LRP405,640,407.222,LRP431,3370,436.057,28.835,268.0,431.0,264.0,264.0,180.0,102.0,121.0,57.0,332.0,1252.0,968.0,266.0,0.0,3271.0,1234.0,4505.0,4505.0,N5
N5-62,N5-62,Thakurgaon  (Int.with R587)- Boda  int. with Z5003,LRP431,3370,436.057,LRP453,2125,456.937,20.880,181.0,346.0,418.0,134.0,246.0,120.0,90.0,107.0,1476.0,2341.0,2111.0,2027.0,0.0,5459.0,4138.0,9597.0,9597.0,N5
N5-63,N5-63,Boda (int.with Z5003)-Panchgarh Sugar Mill (int. with Z5021),LRP453,2125,456.937,LRP469,70,470.992,14.055,181.0,346.0,418.0,134.0,246.0,120.0,90.0,107.0,1476.0,2341.0,2111.0,2027.0,0.0,5459.0,4138.0,9597.0,9597.0,N5
N5-64,N5-64,"Panchgarh Sugar Mill, int. with Z5021-Panchgarh, int. with Z5001",LRP469,70,470.992,LRP469,930,471.852,0.860,181.0,346.0,418.0,134.0,246.0,120.0,90.0,107.0,1476.0,2341.0,2111.0,2027.0,0.0,5459.0,4138.0,9597.0,9597.0,N5
N5-65,N5-65,Panchgarh  int. with Z5001- Nizbari int. with Z5060,LRP469,930,471.852,LRP493,537,495.369,23.517,265.0,505.0,132.0,38.0,120.0,48.0,23.0,34.0,443.0,493.0,328.0,183.0,0.0,2101.0,511.0,2612.0,2612.0,N5
N5-66,N5-66,"Nizbari, int. with Z5060-Banglabanda",LRP493,537,495.369,LRP524,20,526.033,30.664,265.0,505.0,132.0,38.0,120.0,48.0,23.0,34.0,443.0,493.0,328.0,183.0,0.0,2101.0,511.0,2612.0,2612.0,N5
N501-1,N501-1,Diabari More-Birulia (Int.with N511),LRPS,0,0,LRP006,660,6.611,6.611,72.0,387.0,1943.0,170.0,1627.0,1787.0,399.0,2007.0,1443.0,988.0,165.0,355.0,3.0,10823.0,523.0,11346.0,11346.0,N501
